,序号,领导,标题,类型,领域,状态,创建日期,详细内容
10,17529802,朝阳区区长吴小杰,望京地区停车困难,建言,交通,已办理,2023-03-07 17:32:39,"在阜安西路两侧辅路本来有大约 50 个停车位。之后，修建了两条行人道路，导致仅存的 50 个车位被占用。(如图所示)
成本：附近停车场的价格很高。包年 800~1400元/月 不等，临时停车 10元/小时。
建议：是否可以政府出面进行沟通，将长期停车成本降低到 400 - 500元/月。这样我相信更多人会选择合法停车。"
11,17484825,朝阳区区长吴小杰,请加强桥两边安全维护,建言,城建,已办理,2023-03-03 16:51:12,这座桥位于花家地东路民航国际大酒店马路对面，对面是地铁，很多上班族会下地铁直接过桥穿行到对面酒店两边的写字楼去上班，下班也是如此，然而在冬天寒潮的时候，由于靠近水面，早上会有一层薄冰；遭遇下雨天，桥上路面湿滑，傍晚时分，周遭也没有路灯，这条河叫望京河，水务局特别立牌“水深请注意安全”但是上面所搭的桥没有防护栏，中间缝隙也较大，华而不实，遭遇早晚高峰，人人排队过桥，难免走的急，如果发生意外，将危害到生命安全，而且平时早上有晨练的老人由此经过，腿脚不好的也走的很慢，还有放学的小孩在此玩耍，也十分不安全，希望修一座围栏的桥梁，杜绝隐患。
12,17358927,朝阳区区长吴小杰,东坝需要图书馆,建言,城建,已办理,2023-02-18 10:44:47,尊敬的朝阳区区长您好！我近期看到金泽小学南边的空地正在建设，不知道是什么规划用途。如果可以的话，希望能建个图书馆。一是东坝地区居民住宅楼密集，居民众多，但没有图书馆，满足不了人们日益增长的学习知识的热情以及培养下一代的环境的需要；二是那片空地紧挨着东坝郊野公园，文娱运动、脑力和体力的双重补充，将会给这个地区增加很大的亮点，功能性得以成倍的增强。如果这片空地已经另作他用，也请区长能加强一下东坝地区文化方面的基础设施建设，特批一块图书馆用地。万分谢谢！
13,17287287,朝阳区区长吴小杰,朝阳区炫特嘉园西侧晨光东路乱停车,建言,交通,已办理,2023-02-09 21:30:49,炫特嘉园西侧晨光东路不按车位停车，经常停双排导致路面岔死车辆无法通行，请政府帮忙解决
14,17175499,朝阳区区长吴小杰,朝阳区管庄乡东会新村老楼改造问题,建言,城建,已办理,2023-01-18 16:18:58,"吴区长 您好：
从新闻上了解到，2023年朝阳区将新开工15个老旧小区改造并加装电梯。
位于朝阳区管庄乡的东会新村楼房始建于1997年，已历经25年风雨，小区里的居民老年人居多，
上下楼都特别不方便，同时楼房为老旧房屋，各种设施皆不完善，隔音效果差，楼房北邻京通快速路和八通线地铁，噪音也极大，综上给生活造成了极大的不便利。
在此恳请区政府进行考量，是否可以将此小区尽快的纳入老旧小区的改造范围。"
15,17132026,朝阳区区长吴小杰,废旧电线杆斜拉线影响行人,建言,交通,已办理,2023-01-11 13:37:16,"您好，
 酒仙桥路靠近星城国际大厦的人行道路上，有个废旧电线杆的斜拉支撑线，对行人的安全有很大隐患，建议去掉这条斜拉线。电线杆也是废弃的，希望也能去掉。"
16,17101932,朝阳区区长吴小杰,双柳巷小区与康惠园小区中间道路栅栏,建言,交通,已办理,2023-01-07 13:54:19,双柳巷小区与康惠园小区中间道路及栅栏摆放易被撞问题前期已建言得到了一定解决，但近日入口处的栅栏又多次被撞，有一定弯曲，极易刮蹭到行驶车辆。建议区政府能进一步协调相关部门优化该区域栅栏摆放或通过去掉栅栏并增加探头的方式，避免车辆乱停占用车道的同时，减少车辆误撞栅栏。
17,17089514,朝阳区区长吴小杰,垂杨柳拆迁,建言,城建,已办理,2023-01-05 17:37:54,请问垂杨柳拆迁计划是否有新的进展？听到消息说塔楼不在拆迁范围内是否属实？
18,16709334,朝阳区区长吴小杰,机场南路西里小区东门路面不平有坑,建言,城建,已办理,2022-11-23 13:41:53,小区东门路面人行路口坑坑洼洼，天黑的早，老年人看不清容易崴脚，外卖电动车也走那里，车容易卡坑里，和南路西里社区，首华物业反应过，至今没人处理
19,16640216,朝阳区区长吴小杰,青年路晚间行车道乱停车问题,建言,交通,已办理,2022-11-17 13:41:12,朝阳大悦城青年路路口有南向北晚上6点后至10点是占道停车最严重的时间段，朝阳区双桥交通队上午来检查肯定是做无用功，希望督促来此路处理违章，就三条行车路违章停车占了一条半，已经严重影响通行了！  华纺新天地前路段也是乱停乱放的严重地段，经常双排或单排停在路中间，都是临时餐馆就餐人员  时间在晚间7点之后！
20,16587244,朝阳区区长吴小杰,朝阳区西大望路周边的绿化太少了,建言,城建,已办理,2022-11-13 12:32:51,西大望路合生汇周边的树木和绿化是不是太少了，只有零零散散几颗低矮的树，尤其是在夏天，庇荫的地方都没有，光秃秃的都是建筑物在阳光下照的非常刺眼。一点儿绿色的气息都没有。希望区政府和园林部门能考虑在这个区域多些绿植树木的规划，既美化环境，又净化空气，还能起到遮荫的作用。
21,16547986,朝阳区区长吴小杰,关于北京市朝阳区“4.5环”的谏言,建言,交通,已办理,2022-11-10 09:57:43,"北京朝阳区的道路修的越来越好啦。像朝阳路，朝阳北路，建国路，广渠路，京哈高速，这些大多东西贯通，将来还会有王四营北路东西贯通。
然而真正意义上南北贯通的交通主干道我认为除了三环四环五环之外，还有就是“3.5环”大望路，“4.5环”高碑店路和青年路。“4.5环”正是我想说的问题，由于铁路河流这些原因，高碑店路的铁路南段和青年路并没有实现真正意义上的南北贯通，我个人认为这也可能是南北发展不均衡的一个原因，因为南北不通，而且南部目前又没有什么像样的产业，所以北部很难带动人流来到南部开发建设发展。
因此我建议按照如图将高碑店路南段与青年路南北贯通，遇河架桥，铁路平改立下穿过去，改迁改的迁改。
以上就是我对北京朝阳区“4.5环”的建言。"
22,16526546,朝阳区区长吴小杰,提速建设新国展联络线,建言,交通,已办理,2022-11-08 18:14:55,您好，新国展联络线，即朝阳区黄康路至顺义区安华街（机场南线高速公路北侧至安宁大街）。该道路是朝阳区孙河及崔各庄地区与顺义空港及新国展地区的重要通道。希望朝阳区能藉由温榆河公园建设的契机，加速该道路以及跨河桥的建设。短短一条道路，连接着朝阳国际人才社区与顺义国际人才社区，朝阳区与顺义区作为北京市两区建设桥头堡，齐心发展定能实现1+1&gt;2的效果。新国展二期也将于2024年建成，期待该道路能与新国展二期一道投入使用。盼复，谢谢！
23,16483126,朝阳区区长吴小杰,鸿博家园一期B区房本一直不给办理,建言,城建,已办理,2022-11-05 16:31:49,我是鸿博家园一期B区的回迁户，自10余年前回迁至鸿博家园一期B区至今，因开发商规划问题导致我们小区一直没有拿到房产证..每年咨询房产证问题，开发商都说年底下房本，10多年过去了房本仍是杳无音讯，烦请政府协助我们咨询下相关部门，鸿博家园一期B区的房产证到底何时可以给我们办理？谢谢！
24,16442958,朝阳区区长吴小杰,姚家园北街东扩,建言,交通,已办理,2022-11-02 04:47:16,"姚家园北街依次下穿东四环、与星火路平交、上跨大华窑排水渠、与驼房营路平交、下穿京沈客专，与将台洼西路、朝阳体育场西路、朝阳体育场东路平交、上跨东五环路排水渠、东五环路、东坝西环路、最后与单店西路平交。

以上网上公开信息显示姚家园北街项目东止点为单店西路，与朝新大街仅百米之遥。东坝地区饱受交通不便的困扰，不知此项目是否有继续东延与朝新大街打通的可能？"
25,16422929,朝阳区区长吴小杰,朝阳区东坝康静里小区环境脏乱差,建言,治安,已办理,2022-10-31 09:58:04,康静里小区为老旧小区，居住者老年人居多。小区里有多处拾荒人员垃圾堆放处。尤其一号楼北侧门洞外，长期堆放易燃垃圾，严重影响环境卫生和消防安全。物业人员对此问题缺乏管理！存在严重消防隐患！
26,16348686,朝阳区区长吴小杰,求助,建言,城建,已办理,2022-10-22 18:41:45, 在朝阳区安苑里小区环境和垃圾分类没有人管，废口罩和破自行车还有轮胎占道随处可见，垃圾桶经常有异味，小区里休闲的地方成了外来人员睡觉的床铺，外来的人员给小区居民也带来了不安全，维修经理告诉我小区要交给其他公司了，维修工又说小区物业准备不管了，让我最生气的是一名年轻的物业经理说不交物业费就是干不了！在交物业费的问题上，我认为应该交，但这样的服务态度和效率，没人交物业费是必然的！我问居委会查到归北京天岳恒前门物业管，我联系物业前门公司后，依然是态度很不耐烦的说自己是值班的，让我找上级首开集团反映，我要求找领导反映情况，因为问题不是解决不了，物业人员说领导不在 
27,16298867,朝阳区区长吴小杰,青年路益民市场拆迁的影响,建言,城建,已办理,2022-10-17 11:07:59,领导好，青年路地铁站益民市场也开了几年了，里面的商铺很全，也是附近唯一一个便民菜市场，既能解决群众就业问题，也能解决周边老百姓菜篮子问题，但是月底前政策要求拆除了，说是违建，我们能理解违建应该拆除，但是能不能请主管部门想办法换个新的地址，如果真拆了周边群众会非常不方便，而且里面的小商贩基本都会面临失业了，他们的存货也没有好的处理办法
28,16269644,朝阳区区长吴小杰,求助：高碑店东区东里老旧简易楼生活不便,建言,城建,已办理,2022-10-13 19:44:33,"尊敬的各位领导，您好
北京朝阳高碑店东区东里老旧简易2楼，房屋没有上下水：1.取水不易。平时大家从共用水管接水后提上楼，有些2楼老住户有的与1楼住户协商接水到2楼，但是冬天常常因为水管被冻住无法使用。2.水碱多且咸。每家煮水的壶壁上挂着一层厚厚的水碱，想要喝干净水，要不买高昂的矿泉水，要不步行30分钟到五环桥附近，在净水机可买过滤水，但是老人妇女儿童一次只能提一点。
没有卫生间：1.上厕所不方便。上厕所要步行四五分钟到公厕，就怕晚上闹肚子，街上没灯，大狗不栓绳，公厕又太远，特别崩溃。2.洗澡没地方。附近只有洗浴中心每次少说50元，基本在80-140之间，洗不起。最近且便宜的洗浴中心在6公里，洗完了回家又白洗了。
没有燃气：在这边的住户普遍都是60岁以上的老人，每个月还要自己去燃气站换气罐，在搬回家。
 "
29,16063053,朝阳区区长吴小杰,光华里拆迁,建言,城建,已办理,2022-09-20 00:34:47,请问领导建外街道光华里 光华东里2023年有拆迁规划么 。光华里5 6号楼的就地拆建工程肯定也是费了很大脑力与财力。
30,16060970,朝阳区区长吴小杰,教育机构骗取学子血汗钱,建言,教育,已办理,2022-09-19 20:03:00,我在2021年7月份，北京泓*教育电话销售业务员的花言巧语以通过率高，名师一对一辅导，考前密题诱以报名注册安全工程师vip无忧班，费用5980，从9月15号以后无一人问津，微信被拉黑，未按照合同约定完成培训服务，现公司电话无一人接听，现在该何去何从？我相信不只是我一个人上当受骗！曾拨打朝阳区消协、市场监督管理局、报警都是无果！现在希望政府帮忙解决问题退费或继续按照合同履约。
31,16028402,朝阳区区长吴小杰,和家生活公司设置的公共售水机为三无产品,建言,企业,已办理,2022-09-16 11:29:52,和家生活(北京)科技服务有限公司在潘家园东里16号楼院内设置的售水机为三无产品。无该产品的执行标准，无该产品的卫生检测报告，无该机器的维护检测记录。且该机器周边环境脏乱差！
32,16001611,朝阳区区长吴小杰,孙河中央别墅区禧瑞春秋楼盘存在严重问题,建言,城建,已办理,2022-09-13 22:46:19,"该楼盘开发商（远洋和首创——远创兴城置业）于去年（2021年）9月交付至今，仍然存在诸多质量等问题，严重不符合交房标准。1、  外挂消防楼梯雨天积水严重无法通行，漏水渗水至楼道和电梯井，导致漏电停电，安全隐患极大；2 小区雨污不分，排水不畅，暴雨时向室内倒灌，且地下楼层严重反水、渗水，影响正常使用;3、开发商擅自变更“精装修”为“产业化装修”  ,交房前又欺骗业主取消装修却不退还购房款里的装修资金;4、室内楼梯宽度不到90cm，不符合常规使用标准，严重影响业主生活质量;5、电梯箱底与室内地面落差较大，经常短路断电，影响正常使用，存在安全隐患。"
33,15943163,朝阳区区长吴小杰,西坝河中里蚊虫太多,建言,环保,已办理,2022-09-07 16:07:25,各位领导，西坝河中里2号楼门口有大量蚊子，带小孩老人出入楼门口稍有停留都会被叮，很多都是黑白花的蚊子，怀疑可能是2号楼地下室和路面坑洼以及门口垃圾滋养出来的，希望小区能采取有效的灭蚊措施，填平低洼地带，及时打扫卫生，避免因蚊虫叮咬传染病菌。
34,15924395,朝阳区区长吴小杰,三间房东路及双桥路道路设计优化,建言,交通,已办理,2022-09-05 20:18:35,1.三间房东路仅为双向两车道，但是道路过窄且没有非机动车道，在目前双桥路由南向北逐渐减少车道的情况下，车辆过多时非常容易堵车，建议加快推进双桥路北延，同时横向拓宽三间房东路的东西段，增加双桥路与朝阳路及朝阳北路的道路通行能力。2.双桥路和通惠河南路的交叉口经常有车辆不按交通规则行驶，建议增加探头。
35,15923954,朝阳区区长吴小杰,利泽东二路和溪阳东路交叉口红绿灯经常性故障,建言,交通,已办理,2022-09-05 19:15:54,"您好，领导，
利泽东二路和溪阳东路交叉口红绿灯经常发生故障，比较频繁，各公司来往过马路员工较多，易发生交通事故，望解决。
感谢。"
36,15909341,朝阳区区长吴小杰,私家车占用人行道,建言,交通,已办理,2022-09-04 09:11:04,朝阳区黑庄户乡双桥南街双桥农场五号井小区西区至橡树岭小区外的人行道上，经常被私家车占用，导致行人不得不走在马路上十分危险，请有关部门管理一下，以保证行人安全。
37,15878021,朝阳区区长吴小杰,拆迁问题,建言,城建,已办理,2022-08-31 18:59:15,东风乡高庙网上一直说今年拆迁为啥迟迟没有动静，网上说4月份就开始讨论老百姓回迁问题，一直到现在还没决定吗？
38,15871256,朝阳区区长吴小杰,潘家园武圣西里小区是否有拆迁或者改造计划,建言,城建,已办理,2022-08-31 07:45:27,尊敬的区长，北京市朝阳区潘家园街道武圣西里小区建成年代较早，小区内楼房为60、70年代建造，设施严重老化。因历史原因，小区内仍存有大量平房，停车位紧张，生活环境恶劣，居民迫切希望政府出台拆迁或者改造措施。另外，小区占地西至东三环，东至武圣路，均为五层或六层楼房，无高层建筑，未来有无拆迁或者改为商业用地的可能？盼领导回复。谢谢。
39,15864288,朝阳区区长吴小杰,家里屋顶漏水无人维修,建言,城建,已办理,2022-08-30 12:44:59,"2021年7月雨季我家卧室屋顶漏水物业说是楼上业主安装防护栏玻坏了防护层所致后物业与楼上业主进行了简单的抺胶修护今年雨季来临我家屋顶继续漏水物业查看后说要想彻底解决就需拆掉防护栏找到漏点进行维修楼上业主当时也认同但后来在谁负责拆御、维修、费用上与物业互相推诿扯皮迟至今日漏水问题得不到解决、我们苦不堪言肯请领寻帮助我们解决,我们感激不尽.谢谢了!"
40,15852648,朝阳区区长吴小杰,房屋质量,建言,城建,已办理,2022-08-29 10:27:48,北京望京南湖西园香颂小区229-238楼的窗台外沿，施工时使用保温板替代砖石（混凝土），入住后开始出现窗台外沿损坏现象。开发商为首开集团。#人民建议#
41,15843585,朝阳区区长吴小杰,甘露园中里平房区流动人口密集安全隐患严重,建言,城建,已办理,2022-08-28 02:27:57,领导好，我是甘露园中里平房区居民，此地区十几年前量房拆迁未迁，现今已成为外来务工人员聚集地，涉嫌无房本私搭乱建、群组、环境脏乱差等违法行为，成为了朝阳区甘露园一个城中村，不好管理，严重影响市容市貌，影响有合法居住权利居民的生活起居，还望领导能重点关注此区域，严查无证房屋和无证居民，拆除违建
42,15834337,朝阳区区长吴小杰,小区旁边烧烤油烟扰民,建言,环保,已办理,2022-08-26 19:51:16,平乐园小区112号楼西侧的**烤肉，油烟扰民。每天晚上7点多，家里都能闻到烧烤味。
43,15813995,朝阳区区长吴小杰,优士阁落户，住宅70年,建言,城建,已办理,2022-08-24 19:42:59,"尊敬的领导，我们是位于北京市朝阳区广渠门外大街8号优士阁住宅的业主，我们房产证上为70年产权住宅，民水民电，限购。但北京市市场监管局却违反国家制定的70年产权住宅不能注册公司的规定，至今仍然允许优士阁注册公司。
我们于今年5月4日求助了北京市长热线，朝阳区市场监管局于5月7日14：26，电话回复：多年前北京市市场监管局派人来优士阁看了一下，说可以注册公司，之后北京市市场监管局给朝阳区市场监管局下发了一个通知，就允许70年产权住宅优士阁在工商局注册公司了。
而和优士阁同样的楼盘，房屋性质、房屋构造、没有燃气等完全相同（峻峰华亭、远洋新干线A座、德胜置业等），已于去年5月19日，依据房管局已作废的《房屋权属证明》：“住宅不允许注册公司。”完成整改，禁止注册公司，回归住宅本质，可以落户。
优士阁住宅却仅凭北京市市场监管局多年前下发的违法通知，仍然继续注册公司。能注册公司，我们就落不了户口，那我们广大业主户口往哪里落？我们的子女上学成了大问题。
恳请国家市场监督管理总局督促北京市市场监管局，废除70年产权住宅优士阁注册公司的违法通知，回归住宅性质，恢复740户全体优士阁业主享有合法落户的权利!谢谢！"
44,15808765,朝阳区区长吴小杰,建言豆各庄地区黄厂地铁站点相关问题,建言,交通,已办理,2022-08-24 10:29:11,"近期市规划和自然委员会发布了，北京市轨道交通线网规划（2020年-2035年）
在规划图中明显看到了在远期规划中，朝阳区豆各庄乡规划有一条南北通达的地铁线路。
该条地铁线路在豆各庄与7号线进行交汇。

建议一、将新规划的南北线路与7号线的换乘站设置在地铁黄厂站。
建议二、尽快推进该条南北地铁线路的建设

理由如下：
豆各庄乡十四五规划中，黄厂地铁站附近将会是未来朝阳东南部的人流聚集中心。
地铁周边几百米内拥有超大商业惠多港购物中心、三甲医院北京中医院新院区、绿城沁园配套写字楼、国家中医药博物馆、马家湾湿地公园等，这些都会带来非常庞大的人流。在地铁站北面还有一大片空地，也会被规划为商业板块。这些势必都会增加周边的交通压力。

其中北京中医院新院区规划，国家中医药博物馆都是在北京市轨道交通线网规划（2020年-2035年）编制后发布的新规划。
北京市的规划也要讲究与时俱进，在已知的未来规划中 黄厂站附近将会交通压力非常大，
建议朝阳区政府牵头，联络北京市规划和自然资源委员会，考虑黄厂站未来交通压力，加快建设南北通达的地铁线路。

至此，表示感谢



"
45,15786081,朝阳区区长吴小杰,双柳巷小区与康惠园小区之间的道路设计优化,建言,城建,已办理,2022-08-21 22:43:26,目前，双柳巷小区与康惠园小区之间的道路设计为双向两车道，两边路上为停车位，中间过宽部分使用了栅栏分割多余区域。但该条道路长期交通存在车辆经常碰撞栅栏，如与双桥路交汇处出口的栅栏、小区出入口处的栅栏均有多次被碰撞的痕迹。另外，部分栅栏甚至被挪移（如下图所示），中间被乱停车。建议对该区域及附近交通重新统筹规划，如拆除中间护栏，适当将原中间护栏处圈出的多余拓宽至两侧人行道，或者适当将现有道路拓宽，将现有中间护栏处改为绿化带进行隔离等方案，避免乱停或者车辆擦碰护栏。
46,15775385,朝阳区区长吴小杰,关于奥林匹克公园滑板等运动的问题,建言,旅游,已办理,2022-08-20 14:22:30,"尊敬的领导，您好：

       我是一名经常去奥林匹克公园（鸟巢,水立方）锻炼健身的市民，近些日子以来，公园内出现了许多玩滑板的人，偶尔还有一些玩飞盘的人。这些运动所需空间较大，而公园一到周末人又很多，玩滑板的人速度很快，极易对路上走路跑步的行人造成伤害，同样玩飞盘的人也容易将飞盘砸到人身上，公园内老人，小孩都比较多，在公园内进行这种活动是十分危险的，我的建议是直接禁止其进入公园，当然如果要进入的话也应该在指定一个区域进行这类活动，而不能在一般行人走路的地方玩，否则安全隐患极大。希望该问题及早得到解决，谢谢。#人民建议#"
47,15749611,朝阳区区长吴小杰,定福庄北街扩建,建言,城建,已办理,2022-08-17 18:10:55,"南北向的朝阳区定福庄北街长约一公里，宽约六米，南连朝阳路，北接朝阳北路。路两侧文教小区、福怡苑小区等七八个住宅小区的居民上下班都得走这条路。可是最近几年，定福庄北街的路况越来越差，大坑小坑越来越多。
"
48,15739700,朝阳区区长吴小杰,垡头西里八号楼楼道灯无人修理,建言,城建,已办理,2022-08-16 19:12:20,"你好 垡头西里八号楼挨着小区里面的楼道的灯坏掉了 都不亮 四层的灯泡不知道被谁拿走了 也不亮了，
居委会说没有物业，厂子电话无人接听。请帮忙转到负责人处理 多谢 "
49,15694072,朝阳区区长吴小杰,惠民政策是否存在,建言,政务,已办理,2022-08-11 13:07:46,"1.请详细了解该民政惠民政策，今年是是否取消。
2.该政策老年迈母亲已连续多年享受。具体情况:每年社区特殊老年关爱补助非现金形式发放老母亲，大约每月100元的服务形式（可按照名录联系家政上门，做保洁等）。
3.今年莫名取消，经老人儿女多次联系，所在办事处（六里屯）及下辖社区，答复不清晰模糊。大概意思，不知此政策，换新人了，如有也是办事处社区再转交老人，但此政策具体名称是什么，至今没有一个部门清楚。
4.作为老人子女，之前每年享受此惠民老人政策，以很感激政府办的事实大事。今后有没有此政策没有关系。
但十分不解的是，该政策执行了最少5以上，至今没有任何可查阅的底档详情告知家属。也没有任何部门告知其他解决或可享受其他惠民方法路径。"
50,15675308,朝阳区区长吴小杰,朝阳环卫二三清场空气污染,建言,城建,已办理,2022-08-09 12:43:45,朝阳环卫第二第三车辆清洁场常年臭气熏天，12345投诉多次后均未整改好，仍然臭味严重，且晚上经常更臭！附近环绕多个居民小区和办公楼，大家常年受此环境污染，给身心健康造成严重影响！请问朝阳区政府，对此车辆厂不合理的存在地方，是否能考虑尽快搬迁？经查询此车辆厂已经在此存在8年，请问接下来还要在此多久？恳请领导能充分考虑百姓居民的请求，进行切实有效的回复和解决办法，非常感谢！
51,15668496,朝阳区区长吴小杰,建议加快落实来广营朝来高科技产业园充电桩建设,建言,治安,已办理,2022-08-08 16:50:48,区长您好！ 我是在来广营朝来高科技产业园上班的普通白领，我在2022年1月18日给您留言“建议来广营加速推进朝来高科技产业园充电桩建设”，当时很快得到答复并表示可以安装充电桩，但是至今仍未落实，我非常能理解今年严重受疫情影响，现在疫情渐渐好转，还请您了解情况并予以适当的敦促。#人民建议#
52,15665767,朝阳区区长吴小杰,人口密集区的掩蔽场所建设和停车楼规划,建言,城建,已办理,2022-08-08 11:34:12,朝阳区松榆南路南新园小区周边是否有人防通道？周边松榆东里、周庄嘉园、双龙南里、松榆里、美景东方、山水文园……众多小区，人口密集，是否规划建设应急的掩蔽场所。南新园小区临西大望路侧部分楼盘因地铁线穿过有噪音，楼中居民已补偿搬迁，多栋楼目前闲置状态，尤其临街商铺，是否可以规划成一楼商铺，楼上停车楼的布局，以解决周围业主无车位的问题，并合理利用闲置空间。
53,15662815,朝阳区区长吴小杰,万望回复,建言,城建,已办理,2022-08-08 00:02:49,请问领导东辛店2022或2023年是否有拆迁计划
